교차로코드,입력일자,교차로명칭,유형코드,연동교차로코드,구코드 (공통),지번,구경찰서 (공통);,신경찰서 (공통);,작업구분 (공통);,표출구분 (공통);,고객번호,계약종별,계량기번호,도로구분 (공통);,관할사업소 (공통);,교차로관리번호,공간데이터,신규정규화ID,이력ID,동코드 (공통),공사형태 (공통);,지도표출구분
1070, ,주홍교,1,0,650,34-20대,340,340,1,2, , , ,1,105,82-0000004575,,4137562,4575,10600, ,N
1071, ,반포자이,2,0,650,128-6 도,340,340,1,2, , , ,1,105,82-0000005656,, ,5656,10700, ,N
1072, ,반포역,3,0,650,128-6 도,340,340,1,2, , , ,1,105,82-0000002799,, ,2799,10700, ,N
1073, ,시청역2호선(연등),1,1074,140,5-1대,130,130,1,2, , , ,1,108,82-0000005006,,3269254,5006,16600, ,N
1074, ,시청역2호선,1,1073,140,5-1대,130,130,1,2, , , ,1,108,82-0000001762,,3259944,1762,16600, ,N
1076, ,잠원쇼핑,2,0,650,112도,340,340,1,2, , , ,2,105,82-0000003180,, ,3180,10600, ,N
1077, ,전원마을입구,1,0,650,2724 대,380,380,1,2, , , ,1,105,82-0000003286,,3087592,3286,10100, ,N
7468, ,419민주묘지역,2,0,300,424-22 천,250,250,1,2, , , , ,107,82-0000007138,,4438064,7138,10400, , 
1079, ,계성초교입구,2,0,650,128-1도,380,380,1,2, , , ,1,105,82-0000003899,, ,3899,10700, ,N
1080, ,신반포역,2,0,650,3-1학,380,380,1,2, , , ,1,105,82-0000000193,,3196723,193,10700, ,N
1081, ,반포교회,1,0,650,752도,380,380,1,2, , , ,1,105,82-0000001829,, ,1829,10700, ,N
1082, ,시청뒤(연등),1,669,140,44-1도,130,130,1,2, , , ,1,108,82-0000001391,, ,1391,10100, ,N
1083, ,반포주공66동,1,0,650,805도,380,380,1,2, , , ,2,105,82-0000000597,, ,597,10700, ,N
1084, ,반포전화국(연등),1,1085,650,753 학,380,380,1,2, , , ,1,105,82-0000004616,,3195013,4616,10700, ,N
1085, ,반포전화국,1,0,650,15-2유,380,380,1,2, , , ,1,105,82-0000001346,,3195312,1346,10700, ,N
7476, ,복선교(연등),2,0,290,543-38대,190,190,1,2, , , , ,107,82-0000007146,,4347691,7146,10300, , 
1087, ,북가좌초교사거리(연등)2,1,501,410,322-24대,140,140,1,2, , , ,1,108,82-0000002878,,2342594,2878,11900, ,N
1088, ,가좌전화국(연등),1,834,410,359-1도,140,140,1,2, , , ,1,108,82-0000001310,, ,1310,11900, ,N
1089, ,하나은행응암(연등)2,1,713,380,604-3도,240,240,1,2, , , ,1,108,82-0000004359,,2354992,4359,10700, ,N
1090, ,응암오거리(연등),1,303,380, ,240,240,1,2, , , ,1,108,82-0000003353,,2365234,3353,10700, ,N
1092, ,충암고교(연등)2,1,563,380,691도,240,240,1,2, , , ,1,108,82-0000003889,,2364862,3889,10700, ,N
1093, ,응암푸르지오(연등)2,1,0,380,182-1도,240,240,1,2, , , ,2,108,82-0000003094,,2377542,3094,10700, ,N
1094, ,시립은평병원,3,0,380,648-3도,240,240,1,2, , , ,2,108,82-0000001558,,2376012,1558,10700, ,N
3065, ,예일산부인과,1,0,300,386-16도, ,250,1,2, , , ,1,107,82-0000003470,, ,3470,10200, ,N
3066, ,대광빌딩,1,0,300,140도, ,250,1,2, , , ,1,107,82-0000003209,, ,3209,10300, ,N
3067, ,대한병원,2,4138,300,386-16도, ,250,1,2, , , ,1,107,82-0000002124,, ,2124,10200, ,N
3068, ,두산약국삼거리,2,0,300,386-16도, ,250,1,2, , , ,1,107,82-0000004429,, ,4429,10200, ,N
3069, ,수유사거리(연등),1,527,300,45-25도, ,250,1,2, , , ,1,107,82-0000002411,, ,2411,10300, ,N
3070, ,궁전회관,1,0,300,165-41대,250,250,1,2, , , ,1,107,82-0000004430,,4454012,4430,10100, ,N
3071, ,도봉세무서,1,0,300,228-44도,250,250,1,2, , , ,1,107,82-0000004842,,4452702,4842,10100, ,N
3072, ,방송대북부별관,1,0,300,231도, ,250,1,2, , , ,1,107,82-0000001006,, ,1006,10100, ,N
3073, ,솔샘빌딩,2,0,300,327-3대,250,250,1,2, , , ,1,107,82-0000001616,,4451452,1616,10100, ,N
3074, ,방천시장입구,3,0,290,79-107 대,320,320,1,2, , , ,1,107,82-0000004851,, ,4851,13600, ,N
3075, ,월곡뉴타운정류장,1,0,290,21-138 대,190,190,1,2, , , ,1,107,82-0000001053,,4359513,1053,13400, ,N
3076, ,동일하이빌,1,0,290,90-1학,320,320,1,2, , , ,1,107,82-0000001088,,4368282,1088,13600, ,N
3077, ,과기원후문,2,0,290,37-7도,320,320,1,2, , , ,1,107,82-0000002643,, ,2643,13600, ,N
3078, ,동덕여대,2,0,290,37-7도,320,320,1,2, , , ,1,107,82-0000001151,, ,1151,13600, ,N
3079, ,월곡역입구,2,0,290,110-18도,320,320,1,2, , , ,1,107,82-0000005508,, ,5508,13500, ,N
3080, ,KT월곡,2,0,290,70-11대,320,320,1,2, , , ,1,107,82-0000000658,,4368922,658,13600, ,N
3081, ,성북트리즘빌딩,3,0,290,222-1 대,320,320,1,2, , , ,1,107,82-0000002644,,4378322,2644,13600, ,N
3082, ,종암2치안센터,2,0,290,3-70도,320,320,1,2, , , ,1,107,82-0000002150,, ,2150,13500, ,N
3083, ,성북중앙병원,1,0,290,3-195도,320,320,1,2, , , ,1,107,82-0000000784,,4366892,784,13500, ,N
3084, ,숭례초교,1,0,290,10-76대,320,320,1,2, , , ,1,107,82-0000003580,,4366952,3580,13500, ,N
3085, ,사대부고앞,1,0,290,12-33 도,320,320,1,2, , , ,1,107,82-0000000785,, ,785,13500, ,N
3086, ,제기한신아파트,1,0,230,122-388 천,200,200,1,2, , , ,1,109,82-0000002645,,4374392,2645,10300, ,N
3087, ,제기새마을금고,1,0,230,120-240대,200,200,1,2, , , ,1,109,82-0000004275,,4374442,4275,10300, ,N
3088, ,광성상가(연등)2,1,3489,230,849 도,200,200,1,2, , , ,1,109,82-0000002328,,4373424,2328,10300, ,N
3089, ,제기사거리,3,0,230,856도,200,200,1,2, , , ,1,109,82-0000003735,,4373492,3735,10300, ,N
3090, ,용두교앞,2,0,230,65도,150,200,1,2, , , ,1,109,82-0000000341,, ,341,10300, ,N
3091, ,제기동,1,0,230,849 도,200,200,1,2, , , ,1,109,82-0000004433,,4372332,4433,10200, ,N
3092, ,사천교서측,2,0,410,147-7대,140,140,1,2, , , ,1,108,82-0000003579,,2350872,3579,12000, ,N
3093, ,월드컵공원관리사무소,1,0,440,393-5천,210,210,1,2, , , ,1,108,82-0000002329,, ,2329,12500, ,N
3094, ,성사중입구,2,0,440,126-4천,210,210,1,2, , , ,1,108,82-0000003264,, ,3264,12500, ,N
3095, ,모래내지하차도,2,0,440,119제,210,210,1,2, , , ,1,108,82-0000000655,, ,655,12500, ,N
3096, ,중암중교,2,0,440,385-18도,210,210,1,2, , , ,1,108,82-0000002421,,2331962,2421,12600, ,N
3097, ,중동교,3,0,440,238도,210,210,1,2, , , ,1,108,82-0000004434,,2332122,4434,12700, ,N
3098, ,트라펠리스,3,0,470,406-421수,350,350,1,2, , , ,1,104,82-0000004276,, ,4276,10200, ,N
3099, ,목동하이페리온2,3,0,470,406-422수,350,350,1,2, , , ,1,104,82-0000005654,, ,5654,10200, ,N
3101, ,목동하이페리온1,2,0,470,916-1도,350,350,1,2, , , ,1,104,82-0000004792,, ,4792,10200, ,N
3102, ,서부면허시험장입구,1,0,440,산26-1임,210,210,1,2, , , ,1,108,82-0000003816,,2302132,3816,12700, ,N
3103, ,중동청구아파트삼거리,2,0,440,84-9 철,210,210,1,2, , , ,1,108,82-0000000144,, ,144,12600, ,N
3104, ,연희중학교,1,852,410,5-47대,140,140,1,2, , , ,1,108,82-0000001603,,2362392,1603,12000, ,N
3105, ,남가좌동사거리(연등)2,1,145,410,318-6도,140,140,1,2, , , ,1,108,82-0000002621,, ,2621,12000, ,N
3106, ,가좌동광교회,1,0,410,410-27도,140,140,1,2, , , ,1,108,82-0000002307,,2372455,2307,12000, ,N
3107, ,남가좌동사거리(연등)1,1,145,410,318-6도,140,140,1,2, , , ,1,108,82-0000002308,, ,2308,12000, ,N
3108, ,가재울사거리,2,0,410,224-12대,140,140,1,2, , , ,2,108,82-0000003081,,2362113,3081,12000, ,N
3109, ,월드컵파크2단지,3,0,440,102-1대,210,210,1,2, , , ,2,108,82-0000003487,, ,3487,12700, ,N
3110, ,남가좌교회,1,837,410,248-21대,140,140,1,2, , , ,2,108,82-0000005258,,2351434,5258,12000, ,N
3111, ,월드컵파크4단지,3,0,440,87-3대,210,210,1,2, , , ,2,108,82-0000000778,, ,778,12700, ,N
3112, ,북가좌삼호아파트(연등),1,835,410,96-6대,140,140,1,2, , , ,2,108,82-0000005668,, ,5668,11900, ,N
3113, ,구룡사거리,2,0,440, ,210,210,1,2, , , ,1,0,82-0000001870,, ,1870,12700, ,N
3114, ,북가좌초교사거리(연등)1,1,501,410,325-35대,140,140,1,2, , , ,2,108,82-0000004975,,2343805,4975,11900, ,N
3115, ,대림한숲아파트,3,0,380,415-3 도,240,240,1,2, , , ,2,108,82-0000001451,, ,1451,10100, ,N
3116, ,증산시장,1,0,380,207-8대,240,240,1,2, , , ,2,108,82-0000000128,,2333752,128,11000, ,N
3117, ,연서중,1,0,380,197-2도,240,240,1,2, , , ,2,108,82-0000002292,, ,2292,11000, ,N
3118, ,홍제초교뒷길(경보),1,0,410,440-5 공,140,140,1,2, , , ,2,108,82-0000004693,,3305494,4693,11800, ,N
3119, ,홍은교,1,0,410,45-62천,140,140,1,2, , , ,2,108,82-0000001452,, ,1452,11800, ,N
3120, ,홍은후레쉬대형마트(경보),2,3119,410,455-3대,140,140,1,2, , , ,2,108,82-0000003195,,3316043,3195,11800, ,N
3122, ,남가좌동현대아파트,1,0,410,222-2도,140,140,1,2, , , ,2,108,82-0000001453,,2361492,1453,12000, ,N
3124, ,서린약국(경보),2,0,410,73-38도,240,140,1,2, , , ,2,108,82-0000002622,, ,2622,12000, ,N
3125, ,현대종합문구,3,0,410,360-10대,140,140,1,2, , , ,2,108,82-0000003831,,2362552,3831,12000, ,N
3126, ,스타벅스명지대,2,0,410,5-274대,140,140,1,2, , , ,2,108,82-0000003368,,2362992,3368,12000, ,N
